5,4.9e-05
10,2.2e-05
20,2.5e-05
30,3.2e-05
40,5.6e-05
50,7.3e-05
60,0.000113
70,0.000158
80,0.000212
90,0.000258
100,0.00034
100,0.000361
200,0.002048
300,0.006117
400,0.01248
500,0.024985
600,0.041045
700,0.061616
800,0.08897
900,0.126704
1000,0.180063
1100,0.24024
1200,0.299228
1300,0.414944
1400,0.475511
1500,0.603964
1600,0.792192
1700,1.01605
1800,1.08585
1900,1.19964
2000,1.35133
2100,1.58897
2200,1.78663
2300,2.04653
2400,2.30946
2500,2.56942
2600,2.91224
2700,3.18053
2800,3.54942
2900,4.02007
3000,4.40334
3100,4.86272
3200,5.25797
3300,5.74518
3400,6.42136
3500,6.92496
3600,7.50055
3700,8.2232
3800,8.78261
3900,9.49796
4000,10.3939
4100,11.0254
4200,12.0642
4300,12.7271
4400,13.7347
4500,14.626
4600,15.6094
4700,16.6682
4800,17.7618
4900,18.6553
5000,19.8835
5100,21.2467
5200,22.5132
5300,23.9666
5400,24.7257
5500,26.5885
5600,27.6621
5700,29.4632
5800,30.7947
5900,32.7868
6000,34.4465
6100,36.5304
6200,37.7867
6300,40.0781
6400,41.8505
6500,43.2203
6600,45.2459
6700,47.3194
6800,49.2469
6900,51.6301
7000,54.6993
7100,56.0567
7200,59.0556
7300,61.3047
7400,63.7749
7500,66.0191
7600,68.73
7700,72.095
7800,74.6023
7900,76.8893
8000,80.3026
8100,83.3765
8200,86.9264
8300,90.8051
8400,92.6818
8500,96.3079
8600,100.22
8700,102.758
8800,106.831
8900,109.73
9000,113.682
9100,118.431
9200,121.949
9300,125.51
9400,129.128
9500,133.728
9600,139.015
9700,147.051
9800,139.371
9900,144.093
10000,155.857
