0.0812890008, 0.0000368640, 11412.6559247308, 11877.1014006242, inf
0.0796540007, 0.0000326080, 11852.3660280439, 12023.4741291530, inf
0.0758659989, 0.0000348160, 11626.3760731340, 11935.2207363839, 0.0014846377
0.0797130018, 0.0000348160, 11831.8317833661, 11985.4919363968, inf
0.0915800035, 0.0000343360, 11819.5453536845, 11998.1259756832, inf
0.0770189986, 0.0000317440, 11734.2496655651, 12036.1884126875, 0.0011774713
0.0763809979, 0.0000348160, 9466.7775233697, 11956.1157306703, 0.0011015054
0.0816359967, 0.0000327680, 11367.0660874815, 12031.9473314991, inf
0.0717590004, 0.0000337920, 11831.8317833661, 12036.1884126875, inf
0.0769789964, 0.0000337280, 9147.2452522889, 11852.3660280439, 0.0012195238
0.0790619999, 0.0000337920, 11068.6115159787, 11881.2340037559, inf
0.0811169967, 0.0000337920, 11698.0700674184, 11951.9308809221, inf
0.0761990026, 0.0000347840, 11795.0488866302, 12010.7866784363, inf
0.0727880001, 0.0000317440, 9440.6045139050, 10461.6012643365, 0.0010670833
0.0753209963, 0.0000337920, 11754.4463087072, 12023.4741291530, 0.0011774713
0.0790899992, 0.0000328000, 11722.1649594214, 11790.9760106334, inf
0.0840319991, 0.0000327680, 11306.8432207929, 12031.9473314991, 0.0016260317
0.0803999975, 0.0000327360, 11848.2534791098, 11998.1259756832, 0.0341466665
0.0780199990, 0.0000336320, 11795.0488866302, 11993.9116708094, 0.0012195238
0.0827649981, 0.0000337600, 11807.2844145209, 12027.7092380396, 0.0011015054
0.0796950012, 0.0000337280, 10799.0722728635, 12015.0128524963, inf
0.0911149979, 0.0000337920, 11786.9059464254, 12186.5333785847, 0.0018970370
0.0721580014, 0.0000327680, 11823.6379940424, 12002.3432431615, 0.0017073333
0.0764119998, 0.0000336000, 11790.9760106334, 11918.5572519352, 0.0014846377
0.0754719973, 0.0000337280, 11860.5996966983, 12015.0128524963, inf
0.0767190009, 0.0000337600, 11782.8386910954, 11935.2207363839, 0.0010670833
0.0717329979, 0.0000346240, 10611.1455956477, 11872.9716713472, inf
0.0737729967, 0.0000346560, 10874.7345626734, 12044.6795508975, 0.0011382222
0.0785769969, 0.0000336320, 11868.8448129282, 12023.4741291530, inf
0.0806310028, 0.0000337920, 10248.0991977174, 10338.0764537676, 0.0011382222
0.0727809966, 0.0000532480, 10871.2723740192, 8342.6988826764, 0.0011774713
0.0772280023, 0.0000335040, 11746.3593143428, 10031.3356424190, inf
0.0726170018, 0.0000337600, 11718.1422535327, 12002.3432431615, inf
0.0741389990, 0.0000347840, 11823.6379940424, 11968.6878818067, inf
0.0779239982, 0.0000327360, 11819.5453536845, 11977.0840150103, 0.0020086274
0.0775939971, 0.0000368640, 11698.0700674184, 12048.9296142535, 0.0010670833
0.0729900002, 0.0000343360, 11563.3818241769, 10687.5325592471, 0.0010670833
0.0706460029, 0.0000337920, 11790.9760106334, 11993.9116708094, inf
0.0765120015, 0.0000323840, 11815.4555456036, 12006.5634763694, inf
0.0787720010, 0.0000337920, 11881.2340037559, 12023.4741291530, 0.0012195238
0.0732439980, 0.0000337920, 11770.6537493259, 11910.2429462136, inf
0.0770419985, 0.0000337920, 11694.0638790392, 10997.3161116890, 0.0010670833
0.0733449981, 0.0000337600, 11799.1245773305, 12053.1826780072, 0.0011382222
0.0840080008, 0.0000337920, 11848.2534791098, 10347.4747050892, inf
0.0705789998, 0.0000333120, 11790.9760106334, 11926.8831738716, 0.0015521212
0.0808229968, 0.0000335040, 11831.8317833661, 12015.0128524963, 0.0011015054
0.0734980032, 0.0000337920, 11746.3593143428, 11985.4919363968, 0.0021341667
0.0797500014, 0.0000344960, 10741.3232232760, 11981.2865006296, 0.0018970370
0.0716470033, 0.0000419840, 11790.9760106334, 12087.3155847060, inf
0.0800030008, 0.0000358400, 11734.2496655651, 11931.0504985305, 0.0014227778
0.0738959983, 0.0000335680, 11786.9059464254, 11993.9116708094, 0.0011015054
0.0787779987, 0.0000347520, 11852.3660280439, 12023.4741291530, inf
0.0747879967, 0.0000335680, 11795.0488866302, 12040.4324847653, 0.0016260317
0.0754040033, 0.0000327680, 11807.2844145209, 11968.6878818067, inf
0.0714640021, 0.0000337280, 11762.5444460194, 11897.7932149110, inf
0.0745650008, 0.0000336320, 11860.5996966983, 12074.4931141423, 0.0012646914
0.0773039982, 0.0000326400, 11815.4555456036, 12019.2420016876, 0.0013658667
0.0791800022, 0.0000337600, 10680.8465832951, 11860.5996966983, 0.0011382222
0.0779680014, 0.0000358400, 11702.0790016431, 11977.0840150103, 0.0014227778
0.0813570023, 0.0000333760, 11803.2030856531, 11968.6878818067, 0.0014846377
0.0720620006, 0.0000317440, 11823.6379940424, 11989.7003254194, 0.0012646914
0.0748199970, 0.0000327680, 11872.9716713472, 12048.9296142535, inf
0.0766559988, 0.0000327680, 11782.8386910954, 11993.9116708094, 0.0013133333
0.0705230013, 0.0000430080, 8475.2212774372, 10857.4456365006, inf
0.0764880031, 0.0000337920, 11835.9329382303, 12074.4931141423, 0.0011382222
0.0711459965, 0.0000358400, 11539.9346153411, 11782.8386910954, 0.0011774713
0.0780489966, 0.0000347840, 11722.1649594214, 12019.2420016876, 0.0018970370
0.0731920004, 0.0000336000, 11840.0369371687, 11960.3035120121, 0.0016260317
0.0721129999, 0.0000337920, 11819.5453536845, 12023.4741291530, inf
0.0762140006, 0.0000327680, 11819.5453536845, 11947.7489596901, inf
0.0763899982, 0.0000337920, 11746.3593143428, 11964.4942280289, 0.0012646914
