0.1143639982, 0.0000450560, 11815.4555456036, 12147.5156623246, 0.0010670833
0.0885180011, 0.0000450880, 11443.2528575048, 11742.3199885813, 0.0012195238
0.0871940032, 0.0000450560, 11868.8448129282, 12053.1826780072, inf
0.1049510017, 0.0000480320, 11790.9760106334, 11897.7932149110, inf
0.0825650021, 0.0000481280, 11799.1245773305, 10049.0484187153, 0.0011774713
0.0786309987, 0.0000477440, 11811.3685668608, 11985.4919363968, 0.0010670833
0.0825090036, 0.0000460800, 11807.2844145209, 12015.0128524963, inf
0.0847690031, 0.0000520320, 11823.6379940424, 10997.3161116890, 0.0021341667
0.0801170021, 0.0000479040, 11670.0842538600, 12002.3432431615, 0.0011382222
0.0801170021, 0.0000460800, 11831.8317833661, 9208.9176177979, 0.0017971930
0.1107200012, 0.0000460800, 11730.2186625883, 12130.2545388257, inf
0.0765250027, 0.0000471360, 11762.5444460194, 11981.2865006296, inf
0.1173370034, 0.0000450240, 11795.0488866302, 12130.2545388257, 0.0017073333
0.0797270015, 0.0000460800, 11489.4571086119, 10860.8990225173, 0.0010670833
0.0698179975, 0.0000481280, 10741.3232232760, 10809.3278020875, inf
0.0785040036, 0.0000481280, 11686.0597285402, 11914.3986485675, 0.0015521212
0.0765829980, 0.0000481280, 11726.1904281574, 11555.5555082215, inf
0.0797580034, 0.0000460800, 11848.2534791098, 11914.3986485675, 0.0013658667
0.0865669996, 0.0000488000, 11318.0863529315, 11638.2639832292, 0.0014227778
0.0782840028, 0.0000481280, 11750.4014200944, 11951.9308809221, inf
0.0793069974, 0.0000501760, 9477.2874068261, 10664.1681845079, inf
0.0838849992, 0.0000491520, 11416.4715903693, 11022.1647923804, 0.0018970370
0.0811230019, 0.0000487040, 11738.2834399431, 11893.6490863094, inf
0.0801120028, 0.0000491520, 11889.5078435914, 12006.5634763694, 0.0011774713
0.0797659978, 0.0000488960, 11555.5555082215, 11762.5444460194, inf
0.0850230008, 0.0000512320, 11786.9059464254, 12010.7866784363, 0.0012646914
0.0859379992, 0.0000477120, 11868.8448129282, 11943.5699639015, inf
0.0790589973, 0.0000481280, 11803.2030856531, 11993.9116708094, inf
0.0821520016, 0.0000471040, 11848.2534791098, 10947.9533590235, 0.0013133333
0.0768409967, 0.0000471040, 11811.3685668608, 11947.7489596901, 0.0016260317
0.0745960027, 0.0000491520, 8690.9306507494, 12002.3432431615, inf
0.0718050003, 0.0000489920, 11803.2030856531, 11831.8317833661, inf
0.0828569978, 0.0000450560, 11670.0842538600, 11827.7334696205, 0.0341466665
0.0777579993, 0.0000478080, 11610.5632529053, 11947.7489596901, 0.0010670833
0.0727630034, 0.0000471040, 11811.3685668608, 12006.5634763694, 0.0011774713
0.0756189972, 0.0000470400, 11674.0740262545, 10049.0484187153, inf
0.0822009966, 0.0000470720, 11848.2534791098, 11989.7003254194, inf
0.0755060017, 0.0000471040, 11778.7742417366, 11922.7187593556, inf
0.0733759999, 0.0000487040, 11795.0488866302, 12091.5957956071, 0.0012195238
0.0761329979, 0.0000480960, 11682.0617607918, 10404.2250233987, inf
0.0727880001, 0.0000471040, 11610.5632529053, 11960.3035120121, inf
0.0769380033, 0.0000496960, 11501.0665297388, 11881.2340037559, inf
0.0807970017, 0.0000479360, 11786.9059464254, 11889.5078435914, inf
0.0775559992, 0.0000479360, 11848.2534791098, 12036.1884126875, inf
0.0745240003, 0.0000491520, 9485.1851463318, 9637.7833832330, inf
0.0757220015, 0.0000491520, 11698.0700674184, 11799.1245773305, 0.0021341667
0.0800630003, 0.0000480320, 11555.5555082215, 11738.2834399431, 0.0341466665
0.0875530019, 0.0000490240, 11786.9059464254, 11926.8831738716, 0.0011015054
0.0851199999, 0.0000460800, 10958.4937505759, 11815.4555456036, inf
0.0853379965, 0.0000460800, 11718.1422535327, 11860.5996966983, inf
0.0833249986, 0.0000460800, 11750.4014200944, 12006.5634763694, inf
0.0757630020, 0.0000460800, 11840.0369371687, 11922.7187593556, 0.0014227778
0.0753479972, 0.0000655360, 11819.5453536845, 9578.3075811485, 0.0010670833
0.0864709988, 0.0000460800, 11795.0488866302, 12031.9473314991, 0.0010670833
0.0847259983, 0.0000460800, 11726.1904281574, 9972.7413921713, 0.0010670833
0.1089899987, 0.0000481280, 11412.6559247308, 11333.1120234963, inf
0.0910310000, 0.0000460800, 11439.4192719579, 9388.6902740705, inf
0.0887999982, 0.0000477440, 11811.3685668608, 11860.5996966983, inf
0.0779130012, 0.0000496640, 11722.1649594214, 11935.2207363839, 0.0018970370
0.0698599964, 0.0000477120, 11774.7125954464, 11889.5078435914, inf
0.0702999979, 0.0000481280, 11706.0906845370, 11868.8448129282, 0.0012646914
0.0754749998, 0.0000491520, 11718.1422535327, 11872.9716713472, inf
0.0721480027, 0.0000477120, 11750.4014200944, 11918.5572519352, 0.0011774713
0.0737980008, 0.0000570240, 11864.7208223747, 12010.7866784363, inf
0.0788599998, 0.0000501760, 9294.1389566670, 11774.7125954464, inf
0.0789349973, 0.0000481280, 11872.9716713472, 12065.9599034609, 0.0010670833
0.0765459985, 0.0000476800, 11848.2534791098, 12027.7092380396, 0.0012646914
0.0742670000, 0.0000450560, 11393.6157913895, 9122.8069801748, inf
0.0739459991, 0.0000450560, 11795.0488866302, 11981.2865006296, inf
0.0750750005, 0.0000460800, 11606.6167664155, 11964.4942280289, inf
0.0757130012, 0.0000479680, 11840.0369371687, 11935.2207363839, inf
0.0721549988, 0.0000478080, 11782.8386910954, 12027.7092380396, 0.0016260317
0.0730340034, 0.0000491840, 11827.7334696205, 12048.9296142535, inf
