0	5196	5196	5196
1	339	339	339
2	414	414	414
3	464	464	464
4	476	476	476
5	493	493	493
6	557	557	557
7	613	613	613
8	787	787	787
9	699	699	699
10	713	713	713
11	774	774	774
12	725	725	725
13	759	759	759
14	916	916	916
15	795	795	795
16	813	813	813
17	763	763	763
18	780	780	780
19	732	732	732
20	759	759	759
21	773	773	773
22	655	655	655
23	754	754	754
24	737	737	737
25	679	679	679
26	633	633	633
27	704	704	704
28	644	644	644
29	652	652	652
30	658	658	658
31	636	636	636
32	745	745	745
33	703	703	703
34	720	720	720
35	652	652	652
36	712	712	712
37	625	625	625
38	729	729	729
39	685	685	685
40	631	631	631
41	675	675	675
42	640	640	640
43	671	671	671
44	655	655	655
45	704	704	704
46	669	669	669
47	680	680	680
48	676	676	676
49	685	685	685
50	763	763	763
51	781	781	781
52	748	748	748
53	839	839	839
54	837	837	837
55	976	976	976
56	946	946	946
57	1071	1071	1071
58	1051	1051	1051
59	1164	1164	1164
60	1192	1192	1192
61	1341	1341	1341
62	1502	1502	1502
63	1700	1700	1700
64	1886	1886	1886
65	2388	2388	2388
66	2687	2687	2687
67	3127	3127	3127
68	3628	3628	3628
69	3757	3757	3757
70	4092	4092	4092
71	4013	4013	4013
72	3996	3996	3996
73	3580	3580	3580
74	3290	3290	3290
75	3069	3069	3069
76	2813	2813	2813
77	2424	2424	2424
78	2113	2113	2113
79	1933	1933	1933
80	1849	1849	1849
81	1802	1802	1802
82	1712	1712	1712
83	1437	1437	1437
84	1293	1293	1293
85	1206	1206	1206
86	1060	1060	1060
87	947	947	947
88	849	849	849
89	750	750	750
90	676	676	676
91	613	613	613
92	597	597	597
93	515	515	515
94	406	406	406
95	405	405	405
96	352	352	352
97	307	307	307
98	299	299	299
99	297	297	297
100	283	283	283
101	292	292	292
102	208	208	208
103	214	214	214
104	212	212	212
105	195	195	195
106	223	223	223
107	186	186	186
108	163	163	163
109	154	154	154
110	169	169	169
111	163	163	163
112	151	151	151
113	154	154	154
114	152	152	152
115	124	124	124
116	138	138	138
117	137	137	137
118	127	127	127
119	136	136	136
120	134	134	134
121	144	144	144
122	153	153	153
123	149	149	149
124	148	148	148
125	146	146	146
126	131	131	131
127	154	154	154
128	136	136	136
129	146	146	146
130	114	114	114
131	117	117	117
132	125	125	125
133	96	96	96
134	112	112	112
135	131	131	131
136	114	114	114
137	103	103	103
138	130	130	130
139	107	107	107
140	96	96	96
141	103	103	103
142	110	110	110
143	125	125	125
144	88	88	88
145	119	119	119
146	96	96	96
147	93	93	93
148	101	101	101
149	102	102	102
150	110	110	110
151	103	103	103
152	91	91	91
153	107	107	107
154	93	93	93
155	85	85	85
156	93	93	93
157	80	80	80
158	85	85	85
159	101	101	101
160	107	107	107
161	89	89	89
162	101	101	101
163	89	89	89
164	115	115	115
165	102	102	102
166	105	105	105
167	92	92	92
168	87	87	87
169	101	101	101
170	106	106	106
171	102	102	102
172	109	109	109
173	110	110	110
174	113	113	113
175	124	124	124
176	99	99	99
177	100	100	100
178	110	110	110
179	103	103	103
180	121	121	121
181	108	108	108
182	98	98	98
183	117	117	117
184	116	116	116
185	122	122	122
186	99	99	99
187	98	98	98
188	83	83	83
189	115	115	115
190	117	117	117
191	88	88	88
192	113	113	113
193	119	119	119
194	97	97	97
195	114	114	114
196	83	83	83
197	98	98	98
198	87	87	87
199	85	85	85
200	84	84	84
201	108	108	108
202	99	99	99
203	93	93	93
204	94	94	94
205	107	107	107
206	117	117	117
207	88	88	88
208	88	88	88
209	95	95	95
210	88	88	88
211	125	125	125
212	111	111	111
213	105	105	105
214	115	115	115
215	132	132	132
216	118	118	118
217	136	136	136
218	129	129	129
219	155	155	155
220	143	143	143
221	179	179	179
222	166	166	166
223	190	190	190
224	219	219	219
225	182	182	182
226	215	215	215
227	240	240	240
228	259	259	259
229	304	304	304
230	304	304	304
231	301	301	301
232	371	371	371
233	409	409	409
234	504	504	504
235	524	524	524
236	587	587	587
237	586	586	586
238	697	697	697
239	738	738	738
240	901	901	901
241	926	926	926
242	1076	1076	1076
243	1150	1150	1150
244	1201	1201	1201
245	1403	1403	1403
246	1713	1713	1713
247	1899	1899	1899
248	2471	2471	2471
249	2577	2577	2577
250	3240	3240	3240
251	3540	3540	3540
252	3969	3969	3969
253	4014	4014	4014
254	7968	7968	7968
